public_private,pct_top10,fulltime_undergrad,parttime_undergrad,tuition_out_state,room_board_cost,additional_fees,book_cost,personal_spending,pct_faculty_phd,student_faculty_ratio,pct_alumni_donate,instructional_expenditure,graduation_rate,acceptance_rate,yield_rate
1,21.0,3885.0,4519.0,5226.0,3590.0,155.0,650.0,2304.0,67.0,10.0,8.0,11935.0,60.0,0.7705183585313174,0.6503153468815698
1,4.0,492.0,1849.0,5226.0,4764.0,34.0,500.0,1162.0,39.0,9.5,19.0,9584.0,39.0,0.8013698630136986,0.7606837606837606
1,21.0,6209.0,10537.0,5226.0,5120.0,114.0,580.0,1260.0,48.0,13.7,6.0,8046.0,60.0,0.7738498789346246,0.7271589486858573
1,21.0,3958.0,305.0,3400.0,2550.0,155.0,500.0,850.0,53.0,14.3,19.0,7043.0,40.0,0.6815761448349308,0.5125
2,21.0,1367.0,578.0,5600.0,3250.0,300.0,350.0,1248.0,52.0,32.8,19.0,3971.0,55.0,0.927536231884058,0.559375
1,18.0,2385.0,331.0,4440.0,3030.0,124.0,300.0,600.0,72.0,18.9,8.0,5883.0,51.0,0.6602516654330126,0.6390134529147982
1,21.0,4051.0,405.0,3000.0,1960.0,84.0,500.0,1248.0,48.0,18.7,19.0,7723.5,15.0,0.705324423367105,0.3905867970660147
1,25.0,16262.0,1716.0,6300.0,3933.0,265.0,600.0,1908.0,85.0,16.7,18.0,6642.0,69.0,0.8997085320614733,0.4520689147400972
2,67.0,1376.0,207.0,11660.0,4325.0,120.0,400.0,900.0,74.0,14.0,34.0,8649.0,72.0,0.7304347826086957,0.4880952380952381
1,21.0,3772.0,1034.0,2970.0,2536.0,20.0,500.0,1248.0,62.0,19.4,5.0,4944.0,76.0,0.6458141674333027,0.8903133903133903
2,26.0,538.0,126.0,8080.0,3920.0,100.0,500.0,1100.0,63.0,11.4,9.0,7703.0,44.0,0.8552631578947368,0.24423076923076922
1,21.0,5160.0,1475.0,2610.0,2600.0,85.0,570.0,1500.0,66.0,20.1,6.0,4604.0,33.0,0.8684695759065765,0.6277423920736023
2,10.0,552.0,67.0,5780.0,3600.0,265.0,500.0,1248.0,70.0,17.9,27.0,5159.0,43.0,0.7284345047923323,0.6008771929824561
1,21.0,1627.0,132.0,1740.0,2449.0,243.0,570.0,2100.0,58.0,18.8,4.0,4272.0,36.0,0.7935323383084577,0.46394984326018807
2,21.0,746.0,123.0,4000.0,2700.0,265.0,600.0,1000.0,35.0,16.7,2.0,4455.0,15.0,0.6224489795918368,0.5667447306791569
2,17.0,1417.0,301.0,6150.0,3680.0,70.0,550.0,1200.0,59.0,16.6,4.0,5412.0,52.0,0.7323008849557522,0.8126888217522659
2,21.0,1316.0,135.0,6639.0,3999.0,368.0,600.0,2500.0,52.0,14.5,12.0,7986.0,60.0,0.6375131717597471,0.6363636363636364
2,34.0,2959.0,402.0,8236.0,3700.0,265.0,569.0,1650.0,74.0,14.7,17.0,9533.0,61.0,0.8303571428571429,0.4953405017921147
2,21.0,942.0,224.0,11478.0,4788.0,645.0,500.0,900.0,80.0,14.4,23.0,8594.0,70.0,0.8978007761966365,0.3314121037463977
2,21.0,866.0,22.0,4460.0,2754.0,100.0,600.0,1000.0,47.0,14.3,19.0,5031.0,47.0,0.9761526232114467,0.40390879478827363
2,30.0,908.0,119.0,5666.0,2964.0,418.0,1000.0,1400.0,56.0,15.5,7.0,5970.0,46.0,0.33982782057091077,0.22333333333333333
1,18.0,4343.0,990.0,2883.0,2570.0,75.0,300.0,1248.0,50.0,23.0,19.0,4295.0,48.0,0.8708361658735554,0.6432474629195941
2,20.0,2825.0,144.0,6735.0,3395.0,265.0,600.0,1425.0,70.0,12.2,7.0,10872.0,65.0,0.8059108954565505,0.3344280240831965
1,21.0,13780.0,1599.0,5424.0,3530.0,265.0,580.0,1654.0,80.0,17.3,29.0,6426.0,50.0,0.7865138943763993,0.4490957803081045
1,24.0,6960.0,4698.0,4440.0,5175.0,291.0,750.0,2200.0,96.0,6.7,16.0,16352.0,33.0,0.7011686143572621,0.7444444444444445
1,21.0,2727.0,3394.0,4960.0,3500.0,265.0,600.0,2100.0,83.0,12.7,12.0,8863.0,38.0,0.6954941860465116,0.46499477533960293
1,21.0,7516.0,2943.0,3108.0,2850.0,183.0,480.0,1470.0,80.0,13.3,19.0,8667.0,43.0,0.9063573883161512,0.4962085308056872
1,21.0,3477.0,1929.0,5715.0,4430.0,265.0,600.0,2500.0,74.0,18.1,19.0,4792.0,42.0,0.8812182741116751,0.7430875576036866
1,21.0,4539.0,357.0,3552.0,2310.0,84.0,500.0,2800.0,54.0,42.6,19.0,2033.0,60.0,0.9612590799031477,0.8337531486146096
1,21.0,2993.0,1020.0,3216.0,2328.0,143.0,450.0,1248.0,47.0,16.2,19.0,4618.0,60.0,0.9379310344827586,0.5470588235294118
2,46.0,530.0,182.0,8644.0,3922.0,120.0,500.0,800.0,79.0,12.6,24.0,14579.0,54.0,0.4717514124293785,0.49700598802395207
1,12.0,3602.0,939.0,3460.0,2650.0,60.0,450.0,1000.0,57.0,19.6,5.0,4739.0,48.0,0.9971164936562861,0.550028918449971
1,21.0,7212.0,1707.0,3720.0,2580.0,130.0,500.0,1248.0,71.0,20.0,9.0,5128.0,39.0,0.9795386904761905,0.5651348271933156
1,21.0,7402.0,1119.0,3274.0,2600.0,126.0,600.0,1761.0,71.0,20.5,10.0,4252.0,36.0,0.8633024592781858,0.6629670736219015
2,15.0,570.0,59.0,4800.0,2850.0,120.0,400.0,2000.0,49.0,12.8,19.0,8177.0,60.0,0.9862385321100917,0.586046511627907
1,21.0,2942.0,997.0,2880.0,2400.0,80.0,500.0,1248.0,58.0,19.0,12.0,4540.0,68.0,1.0,0.5174496644295302
2,52.0,954.0,6.0,8800.0,3195.0,325.0,500.0,1200.0,82.0,13.1,26.0,8588.0,63.0,0.8760631834750912,0.3800277392510402
2,24.0,961.0,99.0,6398.0,3672.0,148.0,400.0,1350.0,68.0,13.3,19.0,8118.0,75.0,0.6694214876033058,0.7012345679012346
1,21.0,5753.0,4058.0,5352.0,2435.0,166.0,800.0,800.0,61.0,14.7,4.0,4724.0,19.0,0.7485843714609286,0.903177004538578
2,31.0,1310.0,61.0,6530.0,2800.0,100.0,500.0,1500.0,63.0,13.3,10.0,6413.0,65.0,0.8494505494505494,0.5821474773609314
2,12.0,701.0,239.0,2370.0,1260.0,265.0,500.0,1248.0,41.0,18.1,19.0,7723.5,60.0,1.0,0.6342857142857142
2,12.0,509.0,97.0,3952.0,2292.0,150.0,400.0,600.0,62.0,18.0,19.0,4061.0,60.0,0.9545454545454546,0.6238095238095238
1,26.0,2229.0,270.0,2340.0,2240.0,265.0,400.0,1248.0,40.0,17.0,19.0,4653.0,33.0,1.0,0.6300505050505051
1,25.0,9978.0,1530.0,5028.0,3300.0,122.0,500.0,2000.0,73.0,14.8,10.0,6820.0,39.0,0.960741885625966,0.6862934362934363
2,35.0,3128.0,213.0,5504.0,3528.0,1016.0,700.0,910.0,71.0,17.7,37.0,6466.0,73.0,0.620569436374201,0.7546816479400749
2,21.0,1364.0,454.0,6870.0,3100.0,370.0,400.0,1125.0,56.0,14.2,19.0,6219.0,81.0,0.7907444668008048,0.4300254452926209
1,24.0,22593.0,7585.0,7434.0,4850.0,66.0,700.0,2100.0,88.0,18.9,5.0,4602.0,48.0,0.8047466625029276,0.36486224291812186
1,23.0,11249.0,2682.0,6746.0,3728.0,66.0,620.0,2342.0,78.0,21.7,7.0,6157.0,41.0,0.8370395518587677,0.4001216791725816
1,29.0,21664.0,4894.0,7434.0,4216.0,66.0,620.0,2550.0,91.0,19.6,19.0,9683.0,49.0,0.8692378720079551,0.3700768099362641
2,21.0,693.0,40.0,9800.0,4030.0,495.0,400.0,3522.0,55.0,2.3,19.0,6562.0,60.0,0.7071651090342679,0.5682819383259912
2,25.0,2032.0,122.0,15500.0,3700.0,206.0,250.0,750.0,47.0,12.8,7.0,9627.0,60.0,0.8777777777777778,0.5316455696202531
2,21.0,2058.0,111.0,11388.0,4546.0,265.0,1000.0,1248.0,67.0,16.6,15.0,9329.0,36.0,0.8014311270125224,0.5122767857142857
2,21.0,592.0,113.0,6370.0,3894.0,370.0,500.0,1248.0,56.0,13.0,19.0,8554.0,43.0,0.8506493506493507,0.5992366412213741
2,98.0,912.0,472.0,16695.0,5051.0,210.0,735.0,3466.0,100.0,6.5,36.0,62469.0,83.0,0.26461377870563674,0.41420118343195267
2,23.0,1427.0,432.0,12950.0,5300.0,215.0,612.0,576.0,72.0,12.4,17.0,8985.0,60.0,0.43872113676731794,1.0
1,21.0,12147.0,6681.0,8990.0,3476.0,1606.0,600.0,1248.0,88.0,19.9,19.0,6288.0,56.0,0.7461692205196535,0.328125
1,21.0,6790.0,2988.0,8803.0,2550.0,265.0,450.0,1248.0,71.0,20.5,19.0,7237.0,47.0,0.3290900518623291,1.6131805157593124
1,21.0,1815.0,472.0,8233.0,4400.0,265.0,500.0,1248.0,80.0,20.3,19.0,5382.0,48.0,0.7536485697606539,0.33255873999483604
1,21.0,9358.0,5222.0,7454.0,2900.0,119.0,577.0,1248.0,53.0,20.4,19.0,8145.0,49.0,0.49135318238545195,0.46008708272859217
1,21.0,4246.0,2457.0,8820.0,2116.0,265.0,500.0,1248.0,90.0,18.1,19.0,8257.0,24.0,0.7997320830542531,0.35845896147403683
1,21.0,6609.0,4398.0,8670.0,4030.0,265.0,500.0,1248.0,93.0,20.3,19.0,6654.0,49.0,0.695148132245599,0.9394688079061149
1,47.0,12911.0,1404.0,7380.0,4877.0,20.0,612.0,2091.0,72.0,19.8,13.0,8453.0,59.0,0.4886698246063244,0.4322766570605187
1,21.0,11177.0,4027.0,5904.0,4862.0,1720.0,630.0,2430.0,73.0,18.5,7.0,7867.0,50.0,0.6538267451640034,0.40288139953691793
1,21.0,11822.0,1343.0,5904.0,5050.0,1982.0,612.0,2100.0,71.0,18.9,5.0,7798.0,63.0,0.8143687707641196,0.3258541560428353
1,5.0,13494.0,1254.0,7706.0,4368.0,265.0,600.0,1926.0,90.0,21.2,8.0,7268.0,61.0,0.7255506607929515,0.4502125075895568
1,21.0,5637.0,678.0,9979.0,4200.0,1467.0,600.0,800.0,80.0,16.4,4.0,8650.0,65.0,0.6316700317277185,0.2579908675799087
1,21.0,13724.0,8161.0,9096.0,4500.0,265.0,700.0,1248.0,79.0,19.2,3.0,7530.0,47.0,0.6959521619135235,0.4077990746860542
1,20.0,16407.0,5550.0,8384.0,5110.0,265.0,612.0,2400.0,87.0,19.5,7.0,7930.0,41.0,0.7466496490108487,0.30641025641025643
1,21.0,15567.0,7544.0,5904.0,5500.0,1520.0,576.0,1464.0,71.0,20.3,19.0,6691.0,43.0,0.6948644421272159,0.40461451885199773
1,21.0,13165.0,5937.0,8964.0,6776.0,352.0,630.0,2286.0,75.0,17.4,1.0,7651.0,55.0,0.6571959145775301,0.3557502119242724
1,21.0,14392.0,7263.0,8820.0,4224.0,194.0,350.0,2204.0,72.0,17.4,6.0,5957.0,46.0,0.7857965451055662,0.34684904738641914
1,47.0,4239.0,1259.0,7830.0,5189.0,2106.0,610.0,1650.0,79.0,16.1,1.0,7304.0,40.0,0.3602347762289068,0.5672097759674134
1,21.0,2895.0,1678.0,8868.0,5300.0,265.0,650.0,1248.0,89.0,15.3,9.0,7333.0,60.0,0.7965451055662188,0.555421686746988
2,21.0,237.0,67.0,11760.0,4225.0,90.0,630.0,1836.0,90.0,15.7,19.0,10317.0,23.0,0.5217391304347826,0.30357142857142855
2,23.0,1662.0,209.0,16624.0,5895.0,521.0,600.0,1100.0,72.0,12.8,6.0,12692.0,47.0,0.8039624608967675,0.45525291828793774
2,71.0,887.0,1.0,17000.0,6010.0,140.0,500.0,850.0,99.0,9.6,52.0,18443.0,87.0,0.41236559139784945,0.29595827900912647
2,95.0,654.0,5.0,17230.0,6690.0,465.0,700.0,900.0,100.0,8.2,46.0,21569.0,100.0,0.4153957879448075,0.3111888111888112
2,37.0,750.0,30.0,17688.0,5900.0,1548.0,650.0,850.0,100.0,10.4,11.0,14820.0,73.0,0.556045895851721,0.3492063492063492
2,80.0,1500.0,472.0,17720.0,7220.0,180.0,800.0,1000.0,94.0,8.9,47.0,20682.0,91.0,0.37207770826473496,0.34513274336283184
